tier,llm,metric,n,mean,sd,ci95_lo,ci95_hi
1,chatgpt,accuracy,20,0.9576,0.0005,0.9574,0.9578
1,chatgpt,precision,20,0.9873,0.0010,0.9868,0.9877
1,chatgpt,recall_pos,20,0.9271,0.0000,0.9271,0.9271
1,chatgpt,recall_neg,20,0.9881,0.0009,0.9876,0.9885
1,chatgpt,auc,20,0.9905,0.0002,0.9904,0.9906
1,chatgpt,loss,20,0.5321,0.0002,0.5320,0.5322
1,claude,accuracy,20,0.9668,0.0102,0.9620,0.9716
1,claude,precision,20,0.9941,0.0053,0.9916,0.9966
1,claude,recall_pos,20,0.9393,0.0231,0.9285,0.9501
1,claude,recall_neg,20,0.9943,0.0052,0.9919,0.9967
1,claude,auc,20,0.9934,0.0018,0.9925,0.9942
1,claude,loss,20,0.5211,0.0036,0.5195,0.5228
1,gemini,accuracy,20,0.9635,0.0029,0.9621,0.9648
1,gemini,precision,20,0.9942,0.0037,0.9924,0.9959
1,gemini,recall_pos,20,0.9324,0.0059,0.9296,0.9351
1,gemini,recall_neg,20,0.9945,0.0035,0.9929,0.9962
1,gemini,auc,20,0.9918,0.0008,0.9914,0.9922
1,gemini,loss,20,0.1269,0.0066,0.1238,0.1300
1,grok,accuracy,20,0.9572,0.0093,0.9528,0.9616
1,grok,precision,20,0.9976,0.0026,0.9964,0.9988
1,grok,recall_pos,20,0.9166,0.0195,0.9075,0.9257
1,grok,recall_neg,20,0.9978,0.0024,0.9966,0.9989
1,grok,auc,20,0.9932,0.0018,0.9924,0.9941
1,grok,loss,20,0.1423,0.0310,0.1278,0.1568
2,chatgpt,accuracy,20,0.9627,0.0069,0.9594,0.9659
2,chatgpt,precision,20,0.9942,0.0042,0.9922,0.9962
2,chatgpt,recall_pos,20,0.9308,0.0143,0.9241,0.9375
2,chatgpt,recall_neg,20,0.9945,0.0040,0.9927,0.9964
2,chatgpt,auc,20,0.9899,0.0022,0.9888,0.9909
2,chatgpt,loss,20,0.1973,0.0438,0.1768,0.2179
2,claude,accuracy,20,0.9583,0.0044,0.9562,0.9604
2,claude,precision,20,0.9910,0.0085,0.9870,0.9950
2,claude,recall_pos,20,0.9251,0.0070,0.9218,0.9284
2,claude,recall_neg,20,0.9915,0.0081,0.9877,0.9953
2,claude,auc,20,0.9861,0.0018,0.9853,0.9870
2,claude,loss,20,0.1898,0.0327,0.1745,0.2051
2,gemini,accuracy,20,0.9634,0.0058,0.9607,0.9661
2,gemini,precision,20,0.9944,0.0059,0.9916,0.9972
2,gemini,recall_pos,20,0.9320,0.0091,0.9277,0.9362
2,gemini,recall_neg,20,0.9947,0.0056,0.9921,0.9974
2,gemini,auc,20,0.9899,0.0018,0.9891,0.9908
2,gemini,loss,20,0.1752,0.0193,0.1661,0.1842
2,grok,accuracy,20,0.9568,0.0041,0.9549,0.9587
2,grok,precision,20,0.9903,0.0090,0.9861,0.9945
2,grok,recall_pos,20,0.9227,0.0059,0.9199,0.9254
2,grok,recall_neg,20,0.9909,0.0085,0.9869,0.9949
2,grok,auc,20,0.9853,0.0019,0.9844,0.9862
2,grok,loss,20,0.1981,0.0329,0.1827,0.2135
3,chatgpt,accuracy,20,0.9627,0.0103,0.9578,0.9675
3,chatgpt,precision,20,0.9949,0.0066,0.9918,0.9980
3,chatgpt,recall_pos,20,0.9302,0.0211,0.9203,0.9401
3,chatgpt,recall_neg,20,0.9951,0.0064,0.9922,0.9981
3,chatgpt,auc,20,0.9926,0.0016,0.9919,0.9934
3,chatgpt,loss,20,0.1353,0.0351,0.1188,0.1517
3,claude,accuracy,20,0.9623,0.0088,0.9582,0.9665
3,claude,precision,20,0.9875,0.0122,0.9818,0.9932
3,claude,recall_pos,20,0.9368,0.0222,0.9265,0.9472
3,claude,recall_neg,20,0.9879,0.0122,0.9822,0.9936
3,claude,auc,20,0.9926,0.0021,0.9916,0.9936
3,claude,loss,20,0.3030,0.1140,0.2496,0.3564
3,gemini,accuracy,20,0.5759,0.0229,0.5652,0.5866
3,gemini,precision,20,0.6210,0.0286,0.6077,0.6344
3,gemini,recall_pos,20,0.3877,0.0681,0.3558,0.4195
3,gemini,recall_neg,20,0.7642,0.0427,0.7442,0.7841
3,gemini,auc,20,0.6511,0.0218,0.6409,0.6613
3,gemini,loss,0,NA,NA,NA,NA
3,grok,accuracy,8,0.5908,0.0398,0.5576,0.6241
3,grok,precision,8,0.6190,0.0440,0.5823,0.6558
3,grok,recall_pos,8,0.4838,0.2092,0.3089,0.6587
3,grok,recall_neg,8,0.6979,0.1512,0.5715,0.8243
3,grok,auc,8,0.6628,0.0344,0.6340,0.6916
3,grok,loss,8,0.7539,0.0620,0.7020,0.8057
