Metric,Mean,Std,Min,Max
Accuracy,0.9575910931174091,0.00044118410359722613,0.9574898785425101,0.9595141700404858
Precision,0.9872826168084791,0.0009312843876612338,0.9870689655172413,0.9913419913419913
Recall+,0.9271255060728745,0.0,0.9271255060728745,0.9271255060728745
Recall-,0.9880566801619428,0.0008823682071944763,0.9878542510121457,0.9919028340080972
Loss,0.5320680290460587,0.0002175789700065634,0.5317312479019165,0.5325862169265747
AUC,0.9905194315592784,0.00018848965249671767,0.9901653854349358,0.9908701994787654
CPU %,15.125000000000004,11.091477584163437,0.2,41.6
RAM %,69.02,5.701455954403227,63.2,77.2
Disk %,1.8999999999999992,6.661338147750939e-16,1.9,1.9
Exec Time (s),447.20263081789017,25.513251985648143,425.36438512802124,526.8422479629517
