Metric,Mean,Std,Min,Max
Accuracy,0.9668016194331985,0.00996642398792807,0.9433198380566802,0.9777327935222672
Precision,0.9941024532916197,0.00519595955253542,0.9832635983263598,1.0
Recall+,0.939271255060729,0.022505169408400468,0.8866396761133604,0.9635627530364372
Recall-,0.9943319838056681,0.0050241593708465,0.9838056680161943,1.0
F1-Score,0.9657266342001491,0.010820816751949536,0.9399141630901288,0.9774127310061602
Loss,0.5211321830749511,0.0034706290381641674,0.5152558088302612,0.5293427109718323
AUC,0.9933772066416429,0.001749295349711497,0.9897883918766084,0.9958366798341229
CPU %,12.219999999999997,10.865753540367093,4.4,54.2
RAM %,73.41000000000001,1.0329085148259738,71.3,75.3
Disk %,1.8999999999999992,6.661338147750939e-16,1.9,1.9
Exec Time (s),561.7479194879531,13.101659872141044,522.2596170902252,577.9729640483856
