Metric,Mean,Std,Min,Max
Accuracy,0.9634615384615384,0.002824956626913536,0.9574898785425101,0.9676113360323887
Precision,0.9941926699822077,0.0036387547553674436,0.9871794871794872,1.0
Recall+,0.9323886639676113,0.005739857035934348,0.9230769230769231,0.9433198380566802
Recall-,0.9945344129554655,0.0034531826132048397,0.9878542510121457,1.0
F1-Score,0.9622835953650544,0.0029932109768856436,0.9559748427672956,0.966804979253112
Loss,0.12688461616635321,0.006445917932009807,0.11075049638748169,0.13703063130378723
AUC,0.9917741644675375,0.0008102584995562763,0.9894605713911063,0.992935468537429
CPU %,50.77499999999999,5.026616655365715,45.3,65.9
RAM %,67.755,2.3728621957458857,64.2,73.1
Disk %,1.8999999999999992,6.661338147750939e-16,1.9,1.9
Exec Time (s),407.2055818080902,18.429361748624085,392.8361358642578,465.6386568546295
