Metric,Mean,Std,Min,Max
Accuracy,0.9571862348178138,0.009104249605606246,0.9412955465587044,0.9838056680161943
Precision,0.9976036235954249,0.002558531186576622,0.9914163090128756,1.0
Recall+,0.9165991902834009,0.019049862924726456,0.8866396761133604,0.97165991902834
Recall-,0.9977732793522266,0.0023866044782493196,0.9919028340080972,1.0
F1-Score,0.9552740485322605,0.009858383299273207,0.9379014989293362,0.9836065573770492
Loss,0.1423090610653162,0.03024822397496294,0.07220985740423203,0.19281958043575287
AUC,0.9932165746037469,0.0017688282922123423,0.9907062892360143,0.9957383336884722
CPU %,44.88,4.217297712991104,37.6,51.3
RAM %,72.535,1.9568533414643021,68.7,76.2
Disk %,1.8999999999999992,6.661338147750939e-16,1.9,1.9
Exec Time (s),337.08990634679793,11.921449594720592,320.988853931427,359.1486482620239
