run,accuracy,precision,recall_pos,recall_neg,auc,loss,cpu_percent,ram_percent,time_sec
1,0.9574898785425101,1.0,0.9149797570850202,1.0,0.9837892769919193,0.26015540957450867,54.0,67.2,3057.9380798339844
2,0.9655870445344129,0.9914529914529915,0.9392712550607287,0.9919028340080972,0.9885098919831501,0.1906440258026123,53.0,67.7,3509.1583111286163
3,0.9635627530364372,0.9914163090128756,0.9352226720647774,0.9919028340080972,0.9883131996918488,0.19383370876312256,53.3,66.7,3214.4025506973267
4,0.9554655870445344,0.9746835443037974,0.9352226720647774,0.9757085020242915,0.9841826615745217,0.16613467037677765,56.6,73.6,2575.837950229645
5,0.9595141700404858,1.0,0.9190283400809717,1.0,0.9864118408759364,0.22829481959342957,58.0,71.6,2394.956398010254
6,0.9534412955465587,0.9827586206896551,0.9230769230769231,0.9838056680161943,0.9888377124686522,0.16191916167736053,53.2,61.0,3575.892477273941
7,0.9615384615384616,1.0,0.9230769230769231,1.0,0.9845760461571245,0.22502440214157104,48.2,61.1,2588.328763961792
8,0.9554655870445344,0.9828326180257511,0.9271255060728745,0.9838056680161943,0.9867724434099887,0.13720786571502686,47.2,61.2,2670.298765897751
9,0.9615384615384616,1.0,0.9230769230769231,1.0,0.9872477831139668,0.2216079831123352,48.4,71.7,10967.707402944565
10,0.9574898785425101,0.991304347826087,0.9230769230769231,0.9919028340080972,0.9892147060269796,0.1415805220603943,50.2,73.8,2643.869040250778
11,0.9554655870445344,0.987012987012987,0.9230769230769231,0.9878542510121457,0.9861987575603599,0.15590627491474152,58.8,72.1,2343.905534029007
12,0.9615384615384616,0.9871794871794872,0.9352226720647774,0.9878542510121457,0.986510187021587,0.19578193128108978,51.6,68.7,2617.815178871155
13,0.9574898785425101,0.991304347826087,0.9230769230769231,0.9919028340080972,0.9831992001180154,0.17439870536327362,53.1,71.2,2502.8103778362274
14,0.951417004048583,0.9911894273127754,0.9109311740890689,0.9919028340080972,0.985575898637906,0.20327229797840118,49.9,66.8,2079.550398826599
15,0.9595141700404858,1.0,0.9190283400809717,1.0,0.9849202576669016,0.2289830893278122,48.5,71.6,2293.452656984329
16,0.9635627530364372,1.0,0.9271255060728745,1.0,0.986985526725565,0.20459617674350739,47.7,68.7,3396.890779018402
17,0.9595141700404858,0.9913419913419913,0.9271255060728745,0.9919028340080972,0.9859692832205085,0.15756703913211823,48.1,66.6,2591.937563896179
18,0.9615384615384616,0.9956521739130435,0.9271255060728745,0.9959514170040485,0.98696913570129,0.20337006449699402,47.9,66.2,3164.154878139496
19,0.9574898785425101,0.991304347826087,0.9230769230769231,0.9919028340080972,0.9843957448900982,0.1751786470413208,48.5,65.9,1983.4448010921478
20,0.9473684210526315,0.9702127659574468,0.9230769230769231,0.97165991902834,0.9840515333803209,0.17108213901519775,47.6,65.8,1981.4482560157776
