,mean,std,min,max
run,10.5,5.916079783099616,1.0,20.0
accuracy,0.9582995951417003,0.004425263899623619,0.9473684210526315,0.9655870445344129
precision,0.990982297984053,0.008497369780577845,0.9702127659574468,1.0
recall_pos,0.9251012145748987,0.007012351447647274,0.9109311740890689,0.9392712550607287
recall_neg,0.991497975708502,0.008086504807566447,0.97165991902834,1.0
auc,0.9861315543608319,0.0017771019951255526,0.9831992001180154,0.9892147060269796
loss,0.18982694670557976,0.03266610523253842,0.13720786571502686,0.26015540957450867
cpu_percent,51.190000000000005,3.6435812342428036,47.2,58.8
ram_percent,67.96000000000001,3.9321080458464657,61.0,73.8
time_sec,3107.6900082468987,1911.676175496759,1981.4482560157776,10967.707402944565
