,mean,std,min,max
run,10.5,5.916079783099616,1.0,20.0
accuracy,0.9633603238866397,0.005759362553259466,0.9554655870445344,0.9757085020242915
precision,0.9944071757865494,0.005905577386061803,0.9788135593220338,1.0
recall_pos,0.9319838056680162,0.009062431156878794,0.9149797570850202,0.951417004048583
recall_neg,0.994736842105263,0.005588310538214519,0.979757085020243,1.0
auc,0.989936730646298,0.0017950148952295042,0.986362667803111,0.9934108082414069
loss,0.1751812584213215,0.01930207627767999,0.13767804196533306,0.20581125487952384
cpu_percent,47.88,5.717802301399964,44.1,63.8
ram_percent,67.64000000000001,1.5045195071412085,64.6,71.2
time_sec,1420.862547183037,425.8349295662184,844.3816661834717,2125.3965859413147
