run,accuracy,precision,recall_pos,recall_neg,auc,loss,confusion_matrix,time_sec,cpu_percent,ram_percent
1,0.9736842105263158,0.9957627118644068,0.951417004048583,0.9959514170040485,0.9929354685374289,0.10599861746173232,"[[246, 1], [12, 235]]",376.42674803733826,53.2,80.0
2,0.9676113360323887,1.0,0.9352226720647774,1.0,0.9922634365421494,0.17871028512355783,"[[247, 0], [16, 231]]",467.9032471179962,48.2,76.6
3,0.9736842105263158,0.9957627118644068,0.951417004048583,0.9959514170040485,0.9938697569211099,0.09838573880974323,"[[246, 1], [12, 235]]",444.4464900493622,45.9,76.9
4,0.9777327935222672,1.0,0.9554655870445344,1.0,0.9951810388631186,0.08716192027749194,"[[247, 0], [11, 236]]",446.48672914505005,45.3,81.2
5,0.9635627530364372,0.9956709956709957,0.9311740890688259,0.9959514170040485,0.9951646478388435,0.10616985032515179,"[[246, 1], [17, 230]]",226.41542100906372,46.3,81.7
6,0.97165991902834,0.9874476987447699,0.9554655870445344,0.9878542510121457,0.9905915520660886,0.10080210329784502,"[[244, 3], [11, 236]]",313.1474940776825,44.0,82.1
7,0.951417004048583,1.0,0.902834008097166,1.0,0.9910668917700668,0.21335855566505943,"[[247, 0], [24, 223]]",291.50234389305115,44.4,76.8
8,0.9574898785425101,0.991304347826087,0.9230769230769231,0.9919028340080972,0.9921486993722237,0.15830808079185626,"[[245, 2], [19, 228]]",419.6603858470917,41.1,74.8
9,0.9595141700404858,0.9748953974895398,0.9433198380566802,0.9757085020242915,0.9890016227114032,0.1452186403480629,"[[241, 6], [14, 233]]",416.173770904541,38.9,73.5
10,0.9574898785425101,1.0,0.9149797570850202,1.0,0.9913291481584684,0.15021764715352365,"[[247, 0], [21, 226]]",291.40080523490906,40.6,74.0
11,0.9595141700404858,1.0,0.9190283400809717,1.0,0.9928862954646036,0.16345222369437257,"[[247, 0], [20, 227]]",415.880656003952,40.4,73.6
12,0.97165991902834,0.9957446808510638,0.9473684210526315,0.9959514170040485,0.9931977249258306,0.11299334346286712,"[[246, 1], [13, 234]]",395.6181790828705,40.3,74.3
13,0.9595141700404858,0.9829787234042553,0.9352226720647774,0.9838056680161943,0.9922798275664246,0.11662934286399715,"[[243, 4], [16, 231]]",332.25896310806274,40.4,74.5
14,0.9655870445344129,1.0,0.9311740890688259,1.0,0.9928207313675032,0.13336022038974107,"[[247, 0], [17, 230]]",415.97685408592224,40.5,73.7
15,0.9453441295546559,0.9954954954954955,0.8947368421052632,0.9959514170040485,0.995246602960219,0.17205144516042165,"[[246, 1], [26, 221]]",414.61549186706543,41.1,75.5
16,0.9473684210526315,0.9955156950672646,0.8987854251012146,0.9959514170040485,0.9932141159501056,0.1752404057676153,"[[246, 1], [25, 222]]",291.4552960395813,40.5,75.5
17,0.97165991902834,1.0,0.9433198380566802,1.0,0.991575013522595,0.1010771271877832,"[[247, 0], [14, 233]]",312.0043480396271,41.7,75.8
18,0.9412955465587044,0.9954545454545455,0.8866396761133604,0.9959514170040485,0.9910013276729663,0.1666191624807975,"[[246, 1], [28, 219]]",310.9308409690857,40.0,75.7
19,0.9676113360323887,1.0,0.9352226720647774,1.0,0.9936402825812585,0.11170591725667398,"[[247, 0], [16, 231]]",331.81761717796326,39.9,75.9
20,0.9696356275303644,0.9915254237288136,0.9473684210526315,0.9919028340080972,0.9926568211247522,0.10807297506835312,"[[245, 2], [13, 234]]",312.98624777793884,41.1,76.3
