,mean,std,min,max
run,10.5,5.916079783099616,1.0,20.0
accuracy,0.9626518218623481,0.010310926381637707,0.9412955465587044,0.9777327935222672
precision,0.9948779213730822,0.006625557220149167,0.9748953974895398,1.0
recall_pos,0.930161943319838,0.021134223702248073,0.8866396761133604,0.9554655870445344
recall_neg,0.9951417004048583,0.006381124904068117,0.9757085020242915,1.0
auc,0.9926035502958579,0.0016041434839790928,0.9890016227114032,0.995246602960219
loss,0.13527668012933233,0.03512648464036741,0.08716192027749194,0.21335855566505943
time_sec,361.3553964734077,67.40740593776054,226.41542100906372,467.9032471179962
cpu_percent,42.69,3.5815168794652834,38.9,53.2
ram_percent,76.42,2.7109136156615077,73.5,82.1
