,mean,std,min,max
run,4.5,2.449489742783178,1.0,8.0
accuracy,0.59084008097166,0.03976273726252,0.5242914979757085,0.645748987854251
precision,0.6190201600511107,0.04396793093370996,0.578125,0.6912751677852349
recall_pos,0.48380566801619435,0.2091985535670253,0.16194331983805668,0.7975708502024291
recall_neg,0.6978744939271255,0.15117366930927464,0.4939271255060729,0.8866396761133604
auc,0.6628120441246373,0.03442040612584134,0.6090085069415988,0.7172220492058549
loss,0.7538736497583659,0.06200944585529924,0.6670196966121071,0.8810530780298025
time_sec,26.73341515660286,0.3416594183287947,26.472702026367188,27.440628051757812
cpu_percent,15.45,12.695556027884042,6.9,45.3
ram_percent,75.8875,2.917649494272498,70.3,79.8
